Roll,Name,Email,Branch
1401AI02,Aman,Aman@mycollege.in,AI
1401CB02,Tushar,Tushar@mycollege.in,CB
1401CE02,Alok,Alok@mycollege.in,CE
1401CH02,Ganesh,Ganesh@mycollege.in,CH
1401CS02,Divyanshi,Divyanshi@mycollege.in,CS
1401CT02,Shivang,Shivang@mycollege.in,CT
1401EC02,Sangeeta,Sangeeta@mycollege.in,EC
1401MC02,Sasi,Sasi@mycollege.in,MC
1401MM02,Abhilash,Abhilash@mycollege.in,MM
1401MT02,Abhilasha,Abhilasha@mycollege.in,MT
1401AI22,Gaurav,Gaurav@mycollege.in,AI
1401CB22,Priyanshi,Priyanshi@mycollege.in,CB
1401CE22,Pratibha,Pratibha@mycollege.in,CE
1401CH22,Amol,Amol@mycollege.in,CH
1401CS22,Durga,Durga@mycollege.in,CS
1401CT22,Mugdha,Mugdha@mycollege.in,CT
1401EC22,Rekha,Rekha@mycollege.in,EC
1401MC22,Chahat,Chahat@mycollege.in,MC
1401MM22,Abbas,Abbas@mycollege.in,MM
1401MT22,Jagriti,Jagriti@mycollege.in,MT
1401AI42,Anshika,Anshika@mycollege.in,AI
1401CB42,Riya,Riya@mycollege.in,CB
1401CE42,Himani,Himani@mycollege.in,CE
1401CH42,Suyash,Suyash@mycollege.in,CH
1401CS42,Swapnil,Swapnil@mycollege.in,CS
1401CT42,Sanjeev,Sanjeev@mycollege.in,CT
1401EC42,Sidhi,Sidhi@mycollege.in,EC
1401MC42,Pradip,Pradip@mycollege.in,MC
1401MM42,Babu,Babu@mycollege.in,MM
1401MT42,Nargis,Nargis@mycollege.in,MT
1401CH62,Karan,Karan@mycollege.in,CH
1401CS62,Tuhin,Tuhin@mycollege.in,CS
1401CT62,Naziya,Naziya@mycollege.in,CT
1401MC62,Mahato,Mahato@mycollege.in,MC
1401MM62,Yeram,Yeram@mycollege.in,MM
1401MT62,Prasun,Prasun@mycollege.in,MT
1401CH82,Rashmi,Rashmi@mycollege.in,CH
1401CS82,Shubh,Shubh@mycollege.in,CS
1401MM82,Govindam,Govindam@mycollege.in,MM
