Roll,Name,Email,Branch
1401MC73,Vignesh,Vignesh@mycollege.in,MC
1401MC74,Abhimanyu,Abhimanyu@mycollege.in,MC
1401MC75,Faraz,Faraz@mycollege.in,MC
1401CT01,Sudhanshu,Sudhanshu@mycollege.in,CT
1401CT02,Shivang,Shivang@mycollege.in,CT
1401CT03,Shilpi,Shilpi@mycollege.in,CT
1401CT04,Sourabh,Sourabh@mycollege.in,CT
1401CT05,Sonu,Sonu@mycollege.in,CT
1401CT06,Shakti,Shakti@mycollege.in,CT
1401CT07,Satendra,Satendra@mycollege.in,CT
1401CT08,Shaqib,Shaqib@mycollege.in,CT
1401CT09,Shalu,Shalu@mycollege.in,CT
1401CT10,Sudheer,Sudheer@mycollege.in,CT
1401CT11,Vipul,Vipul@mycollege.in,CT
1401CT12,Vipin,Vipin@mycollege.in,CT
1401CT13,Yashika,Yashika@mycollege.in,CT
1401CT14,Virat,Virat@mycollege.in,CT
1401CT15,Varsha,Varsha@mycollege.in,CT
1401CT16,Sunny,Sunny@mycollege.in,CT
1401CT17,Vineeta,Vineeta@mycollege.in,CT
1401CT18,Vibhanshu,Vibhanshu@mycollege.in,CT
1401CT19,Monti,Monti@mycollege.in,CT
1401CT20,Minakshi,Minakshi@mycollege.in,CT
1401CT21,Nitikarsh,Nitikarsh@mycollege.in,CT
1401CT22,Mugdha,Mugdha@mycollege.in,CT
1401CT23,Madhu,Madhu@mycollege.in,CT
1401CT24,Khanak,Khanak@mycollege.in,CT
1401CT25,Megha,Megha@mycollege.in,CT
1401CT26,Manya,Manya@mycollege.in,CT
1401CT27,Pakhi,Pakhi@mycollege.in,CT
1401CT28,Ranu,Ranu@mycollege.in,CT
1401CT29,Purvi,Purvi@mycollege.in,CT
1401CT30,Sapna,Sapna@mycollege.in,CT
1401CT31,Saloni,Saloni@mycollege.in,CT
