Roll,Name,Email,Branch
1401CH79,Mukesh,Mukesh@mycollege.in,CH
1401CH80,Roshan,Roshan@mycollege.in,CH
1401CH81,Nandini,Nandini@mycollege.in,CH
1401CH82,Rashmi,Rashmi@mycollege.in,CH
1401CH83,Vigneshwaran,Vigneshwaran@mycollege.in,CH
1401CH84,Kriti,Kriti@mycollege.in,CH
1401MM01,Bilal,Bilal@mycollege.in,MM
1401MM02,Abhilash,Abhilash@mycollege.in,MM
1401MM03,Vaishali,Vaishali@mycollege.in,MM
1401MM04,Apoorva,Apoorva@mycollege.in,MM
1401MM05,Hemlata,Hemlata@mycollege.in,MM
1401MM06,Aanchal,Aanchal@mycollege.in,MM
1401MM07,Sathwika,Sathwika@mycollege.in,MM
1401MM08,Deepa,Deepa@mycollege.in,MM
1401MM09,Utkarsha,Utkarsha@mycollege.in,MM
1401MM10,Deep,Deep@mycollege.in,MM
1401MM11,Dushyant,Dushyant@mycollege.in,MM
1401MM12,Anshuman,Anshuman@mycollege.in,MM
1401MM13,Sukumaran,Sukumaran@mycollege.in,MM
1401MM14,Chandran,Chandran@mycollege.in,MM
1401MM15,Anshul,Anshul@mycollege.in,MM
1401MM16,Saanchi,Saanchi@mycollege.in,MM
1401MM17,Aadil,Aadil@mycollege.in,MM
1401MM18,Ali,Ali@mycollege.in,MM
1401MM19,Nishant,Nishant@mycollege.in,MM
1401MM20,Aaditya,Aaditya@mycollege.in,MM
1401MM21,Vipasha,Vipasha@mycollege.in,MM
1401MM22,Abbas,Abbas@mycollege.in,MM
1401MM23,Anubha,Anubha@mycollege.in,MM
1401MM24,Chandra,Chandra@mycollege.in,MM
1401MM25,Ayesha,Ayesha@mycollege.in,MM
1401MM26,Rizwa,Rizwa@mycollege.in,MM
1401MM27,Sanjeeda,Sanjeeda@mycollege.in,MM
1401MM28,Devadathan,Devadathan@mycollege.in,MM
