Roll,Name,Email,Branch
1401AI01,Abhishek,Abhishek@mycollege.in,AI
1401CB01,Mansi,Mansi@mycollege.in,CB
1401CE01,Sarthak,Sarthak@mycollege.in,CE
1401CH01,Nitesh,Nitesh@mycollege.in,CH
1401CS01,Arpita,Arpita@mycollege.in,CS
1401CT01,Sudhanshu,Sudhanshu@mycollege.in,CT
1401EC01,Sania,Sania@mycollege.in,EC
1401MC01,Indra,Indra@mycollege.in,MC
1401MM01,Bilal,Bilal@mycollege.in,MM
1401MT01,Mairaz,Mairaz@mycollege.in,MT
1401AI21,Ankit,Ankit@mycollege.in,AI
1401CB21,Ananya,Ananya@mycollege.in,CB
1401CE21,Prakash,Prakash@mycollege.in,CE
1401CH21,Hemant,Hemant@mycollege.in,CH
1401CS21,Kundalik,Kundalik@mycollege.in,CS
1401CT21,Nitikarsh,Nitikarsh@mycollege.in,CT
1401EC21,Prarthana,Prarthana@mycollege.in,EC
1401MC21,Chinmay,Chinmay@mycollege.in,MC
1401MM21,Vipasha,Vipasha@mycollege.in,MM
1401MT21,Ibrahim,Ibrahim@mycollege.in,MT
1401AI41,Krishna,Krishna@mycollege.in,AI
1401CB41,Akshita,Akshita@mycollege.in,CB
1401CE41,Nitin,Nitin@mycollege.in,CE
1401CH41,Abhijit,Abhijit@mycollege.in,CH
1401CS41,Om,Om@mycollege.in,CS
1401CT41,Saurav,Saurav@mycollege.in,CT
1401EC41,Rana,Rana@mycollege.in,EC
1401MC41,Asutosh,Asutosh@mycollege.in,MC
1401MM41,Pranav,Pranav@mycollege.in,MM
1401MT41,Jashveer,Jashveer@mycollege.in,MT
1401CH61,Tharun,Tharun@mycollege.in,CH
1401CS61,Subhra,Subhra@mycollege.in,CS
1401CT61,Jai,Jai@mycollege.in,CT
1401MC61,Mahesh,Mahesh@mycollege.in,MC
1401MM61,Arshad,Arshad@mycollege.in,MM
1401MT61,Rishu,Rishu@mycollege.in,MT
1401CH81,Nandini,Nandini@mycollege.in,CH
1401CS81,Shivanshi,Shivanshi@mycollege.in,CS
1401MM81,Gyanvi,Gyanvi@mycollege.in,MM
