Roll,Name,Email,Branch
1401CE02,Alok,Alok@mycollege.in,CE
1401CE03,Raghav,Raghav@mycollege.in,CE
1401CE04,Rishi,Rishi@mycollege.in,CE
1401CE05,Pragati,Pragati@mycollege.in,CE
1401CE06,Shivam,Shivam@mycollege.in,CE
1401CE07,Lakshya,Lakshya@mycollege.in,CE
1401CE08,Ashish,Ashish@mycollege.in,CE
1401CE09,Sandeep,Sandeep@mycollege.in,CE
1401CE10,Ishita,Ishita@mycollege.in,CE
1401CE11,Shaurya,Shaurya@mycollege.in,CE
1401CE12,Kashish,Kashish@mycollege.in,CE
1401CE13,Vineet,Vineet@mycollege.in,CE
1401CE14,Mayank,Mayank@mycollege.in,CE
1401CE15,Jyoti,Jyoti@mycollege.in,CE
1401CE16,Parul,Parul@mycollege.in,CE
1401CE17,Shambhavi,Shambhavi@mycollege.in,CE
1401CE18,Anshu,Anshu@mycollege.in,CE
1401CE19,Keshav,Keshav@mycollege.in,CE
1401CE20,Prince,Prince@mycollege.in,CE
1401CE21,Prakash,Prakash@mycollege.in,CE
1401CE22,Pratibha,Pratibha@mycollege.in,CE
1401CE23,Praveen,Praveen@mycollege.in,CE
1401CE24,Priyanshu,Priyanshu@mycollege.in,CE
1401CE25,Kshitij,Kshitij@mycollege.in,CE
1401CE26,Arushi,Arushi@mycollege.in,CE
1401CE27,Ishan,Ishan@mycollege.in,CE
1401CE28,Garima,Garima@mycollege.in,CE
1401CE29,Manish,Manish@mycollege.in,CE
1401CE30,Vaishnavi,Vaishnavi@mycollege.in,CE
1401CE31,Shreyansh,Shreyansh@mycollege.in,CE
1401CE32,Atul,Atul@mycollege.in,CE
1401CE33,Sarvesh,Sarvesh@mycollege.in,CE
1401CE34,Vidya,Vidya@mycollege.in,CE
1401CE35,Shubhangi,Shubhangi@mycollege.in,CE
